run, secondi
0, 9.498230457305908 
1, 9.433403491973877 
2, 9.481738805770874 
3, 9.43295168876648 
4, 9.44976019859314 
5, 9.565361738204956 
6, 9.477766275405884 
7, 9.433968782424927 
8, 9.499848127365112 
9, 9.480920314788818 
10, 9.476885557174683 
11, 9.433068990707397 
12, 9.422842025756836 
13, 9.059293508529663 
14, 9.460995197296143 
15, 9.430018186569214 
16, 9.441695928573608 
17, 9.37122893333435 
18, 9.43216347694397 
19, 9.35477876663208 
